epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
37,51.4692,0.12776,0.84906,0.98113,0.50053,0.00045953,0.00045953,0.00045953
38,52.8118,0.10944,0.84906,0.98113,0.40802,0.000452462,0.000452462,0.000452462
39,54.067,0.12948,0.86792,0.98113,0.58854,0.000445393,0.000445393,0.000445393
40,55.4573,0.08538,0.88679,0.96226,0.38223,0.000438325,0.000438325,0.000438325
41,56.8507,0.07172,0.90566,0.98113,0.31456,0.000431256,0.000431256,0.000431256
42,58.2079,0.085,0.88679,0.96226,0.32054,0.000424187,0.000424187,0.000424187
43,59.422,0.09724,0.86792,0.96226,0.4449,0.000417119,0.000417119,0.000417119
44,60.8706,0.10937,0.88679,0.96226,0.32988,0.00041005,0.00041005,0.00041005
45,62.1449,0.03891,0.86792,0.96226,0.39254,0.000402982,0.000402982,0.000402982
46,63.4459,0.22477,0.86792,0.96226,0.45884,0.000395913,0.000395913,0.000395913
47,64.7722,0.04807,0.86792,0.98113,0.53947,0.000388844,0.000388844,0.000388844
48,66.0994,0.09963,0.88679,0.98113,0.29294,0.000381776,0.000381776,0.000381776
49,67.4461,0.0728,0.88679,0.98113,0.48043,0.000374707,0.000374707,0.000374707
50,68.7993,0.06594,0.88679,0.98113,0.30468,0.000367639,0.000367639,0.000367639
51,70.1842,0.10498,0.86792,0.98113,0.43467,0.00036057,0.00036057,0.00036057
52,71.5107,0.03627,0.88679,1,0.27165,0.000353501,0.000353501,0.000353501
53,72.8401,0.04207,0.88679,1,0.38279,0.000346433,0.000346433,0.000346433
54,74.1857,0.0541,0.86792,0.98113,0.28514,0.000339364,0.000339364,0.000339364
55,75.5287,0.06288,0.86792,1,0.32666,0.000332296,0.000332296,0.000332296
56,76.828,0.06752,0.90566,1,0.23885,0.000325227,0.000325227,0.000325227
57,78.2004,0.05425,0.88679,1,0.30899,0.000318158,0.000318158,0.000318158
58,79.6436,0.09378,0.88679,0.98113,0.37429,0.00031109,0.00031109,0.00031109
59,81.0198,0.02762,0.90566,0.96226,0.57475,0.000304021,0.000304021,0.000304021
60,82.3412,0.03997,0.88679,1,0.32902,0.000296953,0.000296953,0.000296953
61,83.7655,0.10117,0.88679,0.98113,0.42446,0.000289884,0.000289884,0.000289884
62,85.1074,0.04593,0.88679,0.98113,0.35804,0.000282815,0.000282815,0.000282815
63,86.4448,0.09507,0.86792,0.98113,0.58791,0.000275747,0.000275747,0.000275747
64,87.7461,0.02902,0.90566,0.98113,0.53884,0.000268678,0.000268678,0.000268678
65,89.0437,0.05363,0.90566,0.98113,0.32053,0.00026161,0.00026161,0.00026161
66,90.4169,0.09445,0.92453,0.96226,0.50175,0.000254541,0.000254541,0.000254541
67,91.7411,0.03159,0.90566,0.98113,0.2952,0.000247472,0.000247472,0.000247472
68,93.1203,0.0392,0.90566,0.98113,0.40876,0.000240404,0.000240404,0.000240404
69,94.4889,0.04397,0.90566,0.98113,0.27516,0.000233335,0.000233335,0.000233335
70,95.8227,0.04227,0.90566,0.98113,0.26667,0.000226267,0.000226267,0.000226267
