epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
30,27.7937,0.13989,0.85714,1,0.43792,0.000845193,0.000845193,0.000845193
31,28.3925,0.13388,0.85714,1,0.43792,0.000836027,0.000836027,0.000836027
32,28.9118,0.38833,0.85714,1,0.40891,0.000826862,0.000826862,0.000826862
33,29.4103,0.06408,0.92857,1,0.53344,0.000817696,0.000817696,0.000817696
34,29.9829,0.21522,0.85714,1,0.64251,0.00080853,0.00080853,0.00080853
35,30.5456,0.1845,0.85714,1,0.64251,0.000799365,0.000799365,0.000799365
36,31.0439,0.09576,0.85714,1,0.54545,0.000790199,0.000790199,0.000790199
37,31.5566,0.05843,0.92857,1,0.54156,0.000781033,0.000781033,0.000781033
38,32.0869,0.12213,0.85714,1,0.56823,0.000771867,0.000771867,0.000771867
39,32.5978,0.24451,0.85714,1,0.56823,0.000762702,0.000762702,0.000762702
40,33.1716,0.10289,0.85714,1,0.53522,0.000753536,0.000753536,0.000753536
41,33.6452,0.11103,0.85714,1,0.42099,0.00074437,0.00074437,0.00074437
42,34.1963,0.30566,0.85714,1,0.35659,0.000735204,0.000735204,0.000735204
43,34.8046,0.30231,0.85714,1,0.35659,0.000726038,0.000726038,0.000726038
44,35.2523,0.05663,0.85714,1,0.39673,0.000716873,0.000716873,0.000716873
45,35.7789,0.71182,0.85714,1,0.42421,0.000707707,0.000707707,0.000707707
46,36.3103,0.30987,0.85714,1,0.29191,0.000698541,0.000698541,0.000698541
47,36.7734,0.15883,0.85714,1,0.29191,0.000689376,0.000689376,0.000689376
48,37.2785,0.12681,0.85714,1,0.31628,0.00068021,0.00068021,0.00068021
49,37.8318,0.01798,0.85714,1,0.22901,0.000671044,0.000671044,0.000671044
50,38.3585,0.2883,0.85714,1,0.2134,0.000661878,0.000661878,0.000661878
51,38.8346,0.26845,0.85714,1,0.2134,0.000652712,0.000652712,0.000652712
52,39.3421,0.26269,0.85714,1,0.20526,0.000643547,0.000643547,0.000643547
53,39.8544,0.05787,0.85714,1,0.16379,0.000634381,0.000634381,0.000634381
54,40.4033,0.15056,0.85714,1,0.20924,0.000625215,0.000625215,0.000625215
55,40.9329,0.11824,0.85714,1,0.20924,0.000616049,0.000616049,0.000616049
56,41.4586,0.12049,0.92857,1,0.20063,0.000606884,0.000606884,0.000606884
57,42.0351,0.06608,0.92857,1,0.18179,0.000597718,0.000597718,0.000597718
58,42.7354,0.13483,0.92857,1,0.23442,0.000588552,0.000588552,0.000588552
59,43.2871,0.12939,0.92857,1,0.23442,0.000579386,0.000579386,0.000579386
60,43.8882,0.19432,0.85714,1,0.35386,0.000570221,0.000570221,0.000570221
61,44.5121,0.04139,0.85714,1,0.28799,0.000561055,0.000561055,0.000561055
62,45.0215,0.18337,0.85714,1,0.37778,0.000551889,0.000551889,0.000551889
63,45.4815,0.4502,0.85714,1,0.37778,0.000542723,0.000542723,0.000542723
64,46.0285,0.42327,0.85714,1,0.49159,0.000533558,0.000533558,0.000533558
65,46.5596,0.13717,0.85714,1,0.43854,0.000524392,0.000524392,0.000524392
66,47.0989,0.10841,0.78571,1,0.4904,0.000515226,0.000515226,0.000515226
67,47.6069,0.05356,0.78571,1,0.4904,0.00050606,0.00050606,0.00050606
68,48.0996,0.1274,0.85714,1,0.53638,0.000496895,0.000496895,0.000496895
69,48.5957,0.03547,0.85714,1,0.50792,0.000487729,0.000487729,0.000487729
70,49.1012,0.1246,0.92857,1,0.5706,0.000478563,0.000478563,0.000478563
71,49.6035,0.24388,0.92857,1,0.5706,0.000469397,0.000469397,0.000469397
72,50.223,0.03729,0.85714,1,0.57125,0.000460232,0.000460232,0.000460232
73,50.7368,0.11001,0.92857,1,0.56801,0.000451066,0.000451066,0.000451066
74,51.2895,0.07078,0.92857,1,0.61494,0.0004419,0.0004419,0.0004419
